ALL ITERATIONS.
======================================================================================================================================================
n    K    m    It   LRC  z              S                                                                                                   CPU (s)   
20   2    3    20   2    21.996086      (8.57, 8.36) (8.67, 3.17) (0.63, 5.96)                                                              0.005106  
20   2    3    20   3    21.996086      (8.57, 8.36) (8.67, 3.17) (0.63, 5.96)                                                              0.006291  
20   2    4    10   2    40.002258      (1.16, 4.47) (8.67, 3.17) (8.57, 8.36) (3.47, 9.43)                                                 0.005702  
20   2    4    10   3    40.002258      (8.67, 3.17) (3.47, 9.43) (8.57, 8.36) (1.16, 4.47)                                                 0.006813  
20   2    4    20   2    40.002258      (1.16, 4.47) (8.67, 3.17) (8.57, 8.36) (3.47, 9.43)                                                 0.010873  
20   2    4    20   3    40.002258      (8.67, 3.17) (8.57, 8.36) (3.47, 9.43) (1.16, 4.47)                                                 0.012885  
20   2    5    10   2    63.651680      (0.63, 5.96) (8.67, 3.17) (3.47, 9.43) (1.97, 3.5) (8.57, 8.36)                                     0.009692  
20   2    5    10   3    63.651680      (0.63, 5.96) (8.67, 3.17) (3.47, 9.43) (8.57, 8.36) (1.97, 3.5)                                     0.011011  
20   2    5    20   2    63.651680      (8.57, 8.36) (8.67, 3.17) (3.47, 9.43) (1.97, 3.5) (0.63, 5.96)                                     0.018217  
20   2    5    20   3    63.651680      (0.63, 5.96) (8.57, 8.36) (3.47, 9.43) (8.67, 3.17) (1.97, 3.5)                                     0.021849  
------------------------------------------------------------------------------------------------------------------------------------------------------
30   2    2    10   2    11.657144      (9.84, 8.96) (2.07, 0.27)                                                                           0.001725  
30   2    2    10   3    11.657144      (9.84, 8.96) (2.07, 0.27)                                                                           0.002430  
30   2    2    20   2    11.657144      (2.07, 0.27) (9.84, 8.96)                                                                           0.003354  
30   2    2    20   3    11.657144      (2.07, 0.27) (9.84, 8.96)                                                                           0.004285  
30   2    3    10   2    28.944302      (9.84, 8.96) (2.07, 0.27) (1.91, 9.6)                                                               0.003935  
30   2    3    10   3    28.944302      (9.84, 8.96) (2.07, 0.27) (1.91, 9.6)                                                               0.005210  
30   2    3    20   2    28.944302      (9.84, 8.96) (2.07, 0.27) (1.91, 9.6)                                                               0.006545  
30   2    3    20   3    28.944302      (9.84, 8.96) (1.91, 9.6) (2.07, 0.27)                                                               0.009356  
30   2    4    10   2    52.771175      (9.84, 8.96) (1.91, 9.6) (2.07, 0.27) (8, 1.53)                                                     0.007394  
30   2    4    10   3    52.771175      (9.84, 8.96) (1.91, 9.6) (8, 1.53) (2.07, 0.27)                                                     0.009595  
30   2    4    20   2    52.771175      (9.84, 8.96) (1.91, 9.6) (2.07, 0.27) (8, 1.53)                                                     0.013340  
30   2    4    20   3    52.771175      (9.84, 8.96) (2.07, 0.27) (1.91, 9.6) (8, 1.53)                                                     0.017852  
30   2    5    10   2    80.910248      (2.07, 0.27) (1.91, 9.6) (9.84, 8.96) (8, 1.53) (0.65, 3.26)                                        0.016577  
30   2    5    10   3    80.910248      (9.84, 8.96) (0.65, 3.26) (2.07, 0.27) (1.91, 9.6) (8, 1.53)                                        0.016780  
30   2    5    20   2    80.910248      (9.84, 8.96) (2.07, 0.27) (1.91, 9.6) (8, 1.53) (0.65, 3.26)                                        0.025563  
30   2    5    20   3    80.910248      (2.07, 0.27) (1.91, 9.6) (9.84, 8.96) (8, 1.53) (0.65, 3.26)                                        0.029801  
------------------------------------------------------------------------------------------------------------------------------------------------------


======================================================================================================================================================
n    K    m    It   LRC  z              S                                                                                                   CPU (s)   
